Q,A
ㅋㅋㅋㅋㅋㅋ 너무 무리했나봐 알바하다가 진짜 기절할듯 너,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 강의 끝났어
근데 난 멀쩡해,응? 맞다 넌 여기에 적응했구나 그래도 아직은 멀쩡해
강의 끝나고 바로 출근이면 밥은 언제 먹어?,싸장님한테 맛있는거 해달라고 해야지 ㅋㅋㅋㅋㅋㅋㅋ
아 밥 주시는구나,그치 사장님이 맛있게 해주시니까 그거 먹으면 괜찮아 출근전까지 뭐하게 이제?
엥 이거 언제 왔어? 나는 너 자는줄 카톡 없어서,그럴수있지..... 귀찮으면 말해줘 바로 핸드폰 반갈죽할게
ㅋㅋㅋㅋㅋ아 어ㅐㄹ케 폭력적인데 수업 언제끝나,ㅋㅋㅋ 4시정도?
나 누워서 유튜브보다가 이제 출근하게 진짜 싫다,ㅋㅋㅋㅋㅋㅋㅋㅋ 출근생각 아찔하네 오늘 컨디션 어때
조아 근데 일끝나면 어떨지 모르겠네,청소 대충대충 해버려 너 이제 곧 자유야
그거 맞지 오늘 뭐야 하나도 안춥네 반팔 쌉가능,너 말 믿고 반팔입고 나간다???
취소,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 확인 후드티만 입고 나가야겠다 그럼
바람이 엄청부네,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
취소,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃기넹
추웡,핫팩 사가 얼른 붙이는 핫팩 발에 한번만 써봐 너 푹 빠진다
발은 불편해ㅠ 이따 퇴근하고 핫팩하나 사야지 아직은 견딜만하네 아니 준서야,왓
개웃기지,뭐야 그때 둘이 갔을 때 찍은건가?? 장원이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
응응,마스크 줄 살 튀어나왔다고 하니까 주의깊게 보게된다
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 카톡 보여주면 장원이 울겠다,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시무룩 장원 보는건가 보고싶네 울리자 장원이
진짜 한번 울려보고싶다 장원이 으 상상했는데 더러어,마냥 웃음이 나와 장원이 우는 거 상상하면서 오늘 버틴다
ㅋㅋ 울려야겠네 이따 도착해서 들어가기전에 전화 한번해봐야겠다,백퍼 자고있을듯 아 장원이 오늘 너 카페 가기로했구나
백퍼 9시쯤 올듯,10시에 안오는게 다행인가ㅏ 그래도 오늘 집갈때는 신나겠네
안올수도있으니까 기대안해야지,슬프지만 아주 좋은 생각
버스 내리니까 쌀쌀하네 따뜻하게 입고 가,너 오늘 어떻게 입었는데? 어제랑 같이?
녜 비올것같은데,너 따라 하기로했으니까 우산도 안챙기고 패딩도 안입고 나간다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아,핫팩만 챙겨야지 따듯하겠다 ^^
이런느낌이구나,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나 하나도 안춥고
ㅋㅌㅋㅋㅋㅋㅋㅋ,비 맞는거 좋아해 ㅎㅎ
비맞는거 나도 시러해 12시쯤 온대 우산은 ㄱㅊ을듯 따뜻하게 입으세요 장원이 전화 안받는거보니까 9시도 틀려먹었다,아이고양 오늘 하늘 뭔가 이상하다 미세먼지 낀건가
출근중?,응 방금 지하철역 도착 땀이 나네? 뭐지
ㅋㅋ 잘 챙겨입었나보네 새벽에 추울텐데 잘했네,ㅋㅋㅋㅋㅋㅋㅋㅋ 오늘 손님 많아?
오늘 심심해뒤질예정,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시간 느리게가겠다
글게 오늘 장원이 안올듯,아직도 연락없어?
아직도 안일어난거보니까,하하..
지원이랑 술먹기러했다는데,응
지원이 전화듀 안받는대,진짜 대책없이 먹었나보네 너가 혼내줘
패고싶네,ㅋㅋㅋㅋㅋ
오늘 만나면 혼쭐내줘야겠다,울리자
오케 내가 혼내줄게,나 옆에서 얄밉게 놀려야지
ㅋㅋㅋㅋㅋㅋ 할맥 오늘 혼자 일해?,오늘 시현이랑 할걸 걔도 안나오면
ㅋㅋㅋㅋ,따끔하세 게 혼내야지
걔를?,아마..?
ㅋㅋ너가?,ㅋㅋ
아고 무섭다,그냥 그런가보다 해
웅 너무 무서어 ㅠ,ㅋㅋ.. 땀이 개나요 감당 안된다
새벽에 추워 참아,어? 장원이 일어났나보다
바로 역할로 꽂아버린다는데 준서 심심하진않겠다,ㅋㅋㅋㅋㅋㅋㅋ 나이스~ 아쉽게됐네 현지야.. 안타깝지만 어쩌겠어
ㅋㅋㅋㅋㅋㅋㅋ 박준서 먼저 혼내야겠는데 안되겠다 끝나고 찾아간다,ㅋㅋㅋㅋㅋㅋㅋㅋ 서장원 검거완료! 우리도 손님없다
장원이 갈텐데 많이 안먹을거래 난 일끝나고 전화할게 집이나 가야겠다,ㅌㅋㅌㅋㅋㅋㅋㅋㅋ 나도 끝나면 말할게 지금 소주 2잔 내 배속에 들어있다
술마셨어?,응 새로나온술 시음해보라고 2잔 주셨어 맛있더라구요 너도 먹을수 있을정도??
할맥 깨부수러가?,얼른와~
준서 나 퇴근해써 준서 언제 끝나 아 이건 또 뭐야 ㅋㅋㅋㅋㅋㅋㅋ 새벽에 나 심장뛴거,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 심장 터지겠다
준서 바빠?,반정도 찼어 역시 불금이라 사람들이 벌써 술을 먹어 심심하다 시간이 너무 느리게가
나도 손님이 없네 불금 질수없겠는데?,바로 패배인정할걸..? 아 통화하면서 일할수있으면 얼마나 좋을까
누구랑하게,시간 뚝딱인데 누구든지
%~,라고할뻔~ 아마 너랑 하지않을까
ㅋㅋㅋㅋㅋㅋ 엎드려 절받기 너무 좋고~,ㅋㅋㅋㅋㅋㅋ 진짠데?? 오늘은 책이 눈에 안들어오나보네?
꺼내지도않음 ㅋㅋㅋㅋㅋㅋㅋㅋ 걍 이리저리 돌아다니는중,내일 주말이라고 다들 놀러갔나봐
긍까 수능도 끝나고,어
손님 진짜 없어,맞네 수능 끝나서 실컷 놀고 있겠구나.. 알바가기전에 너무배고파서 못참고 잔치국수 또 먹었어 ㅋㅋㅋㅋ 맛있더라구용?
ㅋㅋㅋㅋ아나 질려서 낼 먹기싫으먼 우째,잔치국수는 매일 먹어도 맛있어 괜찮아 이제 좀 숨 돌린다
난 책읽는중,우리 퇴근 1시간 20분 남았다 발써 신나
하 50분남았다 청소 벌써다함 나 퇴근~,샵검색 : #장르만 로맨스 이거 재밌어보인다 그지??
?,??
어딘데,다왔어
또 통화중이네,다씻음말해
나왔어 샵검색 : #그믐,일 가고 있어? 자?? 아ㅏㅏㅏ 심심하네?? 어디서 연락한통 안오나..?
장원이한테 내 얘기했어?,아니? 장원이가 오라고했는데 너 만나서 담배핀다 하길래 너가 나 만나기 싫어하는거같아서 안간다고했어 전화해도돼? 난끝
나도 톡방 나가버리고싶네 27살이래 대박 동안이네,엥 ㅋㅋㅋㅋㅋㅋㅋ 반전이네 언니라고 해야되네
긍께 준서 출근 화이팅,화이팅!! 이제 도착해서 옷 갈아입음 미친 벌써 놀고싶어 시험기간이라는게 화가 난다
ㅋㅋㅋ어ㅐ 갑자기 화내 ㅠ 현지 앞머리 볼래? 일케 보니까 별로 안짧아보이네,완전 괜찮은데? 길이 딱 맞아 모자가 포인트네 ㅋㅋㅋㅋㅋ
흠 모자 써서 좀 눌려 보이나봐 아까는 짧았는데 괜찮네,내 앞머리가 너 앞머리 1.5배야 ㅋㅋㅋㅋㅋㅋ 개길지
좀 길긴하넹 근데 갠차나 예뻐,ㅋㅋㅋㅋㅋㅋㅋㅋ 고마워라^^
ㅋㅋㅋ진짜야 너 머리 올린거 예뻐,내일은 머리자르고 올릴게 일어날수있으면 ㅋㅋㅋㅋㅋ
그랭 늦으면 시간 늦춰도 돼~,그런얘기 아니였어~ 나 그럼 밤샐게~~
ㅋㅋㅋ아냐 일찍 자고 일찍 만나자 무리하지말라고 한 말이었어,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무리안하지 토요일에 재밌게 놀아야되는데 심지어 일요일도 있어
아씨 신나긴하네 빨리 퇴근하고싶다,ㅋㅋㅋㅋㅋㅋㅋㅋ 나도 2시간밖에 안남았어
집가고싶어서 미칠것같은데 2시간이나 남았네,나도 얼른 집가고싶다ㅏ 30분뒤면 슬슬 청소 시작이네? 끝나면 전화해줘
네에 나 엄마한테 전화 한통하고 바로 전화할게 끝났어? 코노야?,응 이제끝났어
집갈때 전화해,끝~ 본가 도착했어??
이제 옷 입게,ㅋㅋㅋㅋㅋ 이따 출발할때 톡할게
웅 옷 다입고 전화로 냉면 주문함 10분있다가 오래,ㅋㅋㅋㅋㅋ 냉면 맛있게 먹어 나도 이제 밥먹어야지 뭐하고있어
밥 다 먹구 강아지 끌어안고있어,밥먹고있어서 이따가 전화할게
나는 일어났어요 준서 나 롱패딩 입으니까 멋이 안나 시러 그냥 잼민이어서 창피해서 못보내,준비다했나요?
ㅎ,? 술먹긴했는데 통화 해도돼?? 내일 연락할게 잘자 전화가능해? 오늘 열차가 빨리와서 늦지않게 들어갔어 너도 생각 많이 하고있겠지만 결론이 났는지는 모르겠네 나는 애들이 물어보면 너랑 놀았다고 말하려고 내가 가고 싶었고 재밌었으니까 주변 눈치 보겠지만 최대한 신경 안쓰려고 노력할래 괜히 나 혼자 멋대로 판단해서 걱정하고 싶지도 않아 장원이랑 의영이를 믿기도 하고 거짓말해서 나중에 후회하는 거보다 사실대로 말하는 게 좋다고 생각했어 그거랑 별개로 도망간다는 생각도 존중하기로 했어 너가 미리 말해주기도 했고 충분히 고민한거라고 믿어 아직 생각 정리 다 못했을거 같은데 너 잘못이라고 결론 안 났으면 좋겠어 기다리는거 싫다고 했는데 그것도 노력해볼게 너랑 지내면 감정에 솔직하게 말하다보니 생각보다 너가 더 좋아진거같아 고마워
시간되면 만나서 얘기하자 너 의견 존중하는데 너 혼자 일은 아니니까 나랑 얘기 먼저하고 애들한테 말했으면 좋겠어 혹시 애들한테 이미 얘기한거 있으면 알려줄래 만나자고 연락왔는데 뭐라고 말해야할지 모르겠어서,연락한거 없어 그냥 만나자고 한거 같아
그래서 이렇게 연락했구나 나는 오늘 안나갈게 둘이 만나서 얘기할 시간은 없는 것 같으니까 너가 알아서 잘 얘기해,무슨 얘긴지 이해못했어 오늘 애들 만나자는 약속도 안하고 아까 의영이 본 거 빼면 얘기 나눈적도 없어
만나자고 한것 같은건 무슨 얘기야? 만나자고 한 것 같다고 해서 애들 만나기로 약속한 줄 알았어,애들이 너한테 그냥 만나자고 한거 같다고 말한거야 나도 애들이 왜 너한테 만나자고 한지는 몰라서 그렇게 말했어
만나면 물어볼 것 같아서 그냥 안만난다고 했어 너 시간 되면 먼저 만나서 얘기하고싶어,응 알바 끝나는대로 갈게
동네오면 카톡해줘,응 그럴게 도착했어 집앞쪽으로 갈게 지금 래미안이야 정신없어서 지금 연락해 집에 엄마가 없어서 혼은 안났는데 갑자기 단수라 그래서 짐 다싸서 친구집가고 있어 ㅋㅋㅋㅋㅋㅋㅋ 씻고 학교 가야지
에 또 단수래? ㅋㅋㅋㅋㅋ누구집가는데 수업은?,오늘 학교 못갈거같은데 ㅋㅋㅋㅋㅋㅋㅋ
왜ㅠ,보안키 만드려면 5시까지 가야되는데 단수땨문에 시간을 너무 썼어 내일 만들어도 되니깐 ㅇㅇ
준서 수업은?,수업은 노트북 일단 들고왂어
ㅋㅋㅋ친구집 어딘데,주소 보니까 그레도 카페 옆이야
가깝네,그나마 다행이지 샌드위치 먹었어??
네에 하나먹구 남겨놨어 나중에 먹게 너는 도착했어?,나 이제 1분거리야 씻고 다시 연락할게요
네에 다녀와요,다 씻었어 샴푸인주 알았는데 트리트먼트를 써버렸네 ..
머리결 좋아졌겠네 준서 수업 듣는중?,응 수업 듣고 있어 그냥 틀어만 놓고 있는중 장원이한테 전화왔었어 의영이차타고 카페 간대
응응 나도 방금 끊었는데 ㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너도 오래? 오늘 드라이브하자는데,응 그랬는데
의영이 차타고,나 지금 친구랑 있어서 놓고 가기 미안해서 일단 친구랑 다 놀고 연락한다고했어 우리 집 단수라 화장실도 빌려줬는데
응응 애들 저녁에 온대,아 그래?
칭구 누군뎅,성현이 고등학교 친구 카페 갈 수 있으면 좋겠네
응응 나 퇴근할때쯤 올걸 머하고 놀게,일단 밥먼저 먹고 피시방갈거같아
응응 밥 잘 챙겨먹구 재밌게놀아 찐종강인데,고마워용 현지랑 놀 생각에 벌써 신나네~
ㅋㅋ 내가 더~ 게임 일찍 끝나면 저녁에 애들 만나서 같이 와줘 나 퇴근시간 맞춰서 온대 혼자 만나기 살짝 무서어ㅋㅋㅋ,그렇게 할게 생각 깊게 못했어 미안 애들한테 연락할게 지금 건대가고 있다네 같이 못갈거같으면 따로 갈게
아 아니야 그럼 애들이 너 태워오는거 아니면 그냥 친구랑 놀아 나 괜찮아,석계 들렸다가 갈거같대 커피 땡기네 커피 먹었어??
다행이네 친구랑 노는데 방해해서 미안해 난 먹었지 커피 포장해갈까?,아니아니 엘가에서 디카페인 먹으려고 방해 아니야 부르면 가야죠~
그래도 미안~,같이 있어야지 이따봐 바빠??
아니 엄청한가해서 졸려 게임 다 했어?,응 회기에서 짐 챙기고 돌곶이 가는중이야
애들 만나려구?,응 애들 순대국 먹고있대
짐 들고있으면 너한테 먼저 물어보겠다,가방에 넣어놨어
ㅋㅋㅋㅋㅋㅋ,오늘 수업 친구집에서 들었짆아
로션 챙겨서 다행이네,응 ㅋㅋㅋㅋ
한강 드라이브 갈거래 개조아,진짜?
응응 방금 전화했어 장원이랑 내가 한강 가고싶다했더니 갈거래,ㅋㅋㅋㅋㅋㅋㅋㅋ
얼른 퇴근하고싶어,좋겠네
준서는 안좋아?,나도 좋아 재밌을거같아
응응 차라리 같이 있을때 말하고 같이 놀아서 다행인것같네 근데 조또 신경안쓰고 있는데 나만 일케 신경쓰는걸수도,ㅋㅋㅋㅋㅋㅋㅋㅋ 나도 안그러고 싶은데신경쓰고있어
엉 눈치 개보이네,가면 지원이도 있는데
내 남자친구들도 아닌데 지원이 머리 자르고있대,아 그래?
지원이 없을때 물어보겠지,그건 다행이네
응응 지금 어디쯤인데?,의릉입구야 버스타고가고 있어
잘했네 비 안오지?,비 안오는거 같아
다행이다 옷 따뜻하게 입었어?,별로 따듯하게는 안입은거같은데 이상하게 더워서
롱패딩 벗어줘?,롱패딩 벗고 다니고있어
나 안에 반팔 3개 입었는데,한국말 끝까지 알지
무적이야 난 듣고싶은말만 들어서 끝까지 잘 못들어,내가 강조해줄게
ㅋㅋㅋㅋ 노땡큐,ㅠㅠ
추우면 바로 벗어줄게~ 난 좀 쎄가지구,그럼 나도 벗어
감기같은거 안걸리거든,나도 다 나았어 ㅎㅎ
그건 다행이네 애들이랑 얘기하면 나한테 카톡해죠,응 말해줄게
얘기했어?,지금까지는 아무 얘기 없어 지원이만나서 이동중
뭐해 준서 자?,미안 이제 씻고 나왔어 자려고 보안키 만들어서 이제 밥먹으러 가는중 원래는 학교에서 공부좀 하려고 했는데 귀찮아졌어 너는 뭐하고있어?
벌서는중 밥 뭐먹게? 나 오늘 2분밖에 안늦었어,진짜 다행이다 아슬아슬했네 간장계란밥에 돈까스 시켰어 원래 자주 가는 음식점인데 오늘은 사람이없네
학교앞에서 먹는거야?,응
먹구 집에 가려구?,그래야지
부모님한테 연락은 드렸어 ??,응 열차 탔는데 전화와서 받았어 잘 말씀드렸더니 별말 없으셨어
거짓말 많이 혼났지,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니야 지금 학교간다니까 좋아하시던데?? 7시까지 자고 일어나서 친구들이랑 조조영화 보고 학교간다고했어
거짓말 완전 잘하네 무조건 시년지 걸어야겠다,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 거짓말 완전 잘해 나
긍까,이따 장원이랑 통화해서 오늘 좀 피곤해서 집에서 쉬고싶다고 말하려고 너는 영화봤으면 좋겠다 스파이더맨 보고싶잖아
나 마블 안조아해,스파이더맨은 좋아한다고 하지 않았어?
아이언맨 거미는 별루,근데 왜 본다고 했어 ㅋㅋㅋㅋㅋ
그냥 애들이 보자고 하니까 난 내용도 잘 몰라 ㅋㅋ,그렇구낭 이제 벌 그만서고 앉아서 책읽으면 되겠다
그만서도돼?,설 필요도 없는데 왜 벌 섰어
내 마음 편하려고,안아프게 벌섰지? 혹시 남탓 해줬나??
몰라~,이집 맛집이다 7000원에 간장계란밥+돈까스 마무리로 후식도 주ㅠㅓ
담에 준서 보러 가서 나도 먹어야지,그랬으면 좋겠다 기대할게
안싫어하네,와주는데 고맙지^^
ㅎㅎ박준서 불만있을때 눈웃음치자나,엥 그런 버릇이 있었나 ㅋㅋㅋㅋㅋ 조심해야겠더 아 이제 맛있게 담배피면 되겠네 같이 펴주는 사람 어디없나 없겠지
다른사람 구했나보네 혼자펴야겠다 여기서 충전해요 충전기 있어,맘 편히 갈게요 금방가요
조심해서 와요 나 일어났어,현지야
응응,나ㅠ속이 안좋아서 좀 늦게 나갈꺼같아 먼저 카페 가있을래 ?? 어디쯤이야?
집에 있어 나 출근할때 잠깐 들려서 충전기만 줄게,어딘데??
나 담배피거있어,집앞?
다시 들어가면돼 응응 속 많이 안좋아?,이제 진짜 맵찔인가봐
어제 그거 밥 먹어서??,응ㅋㅋㅋㅋㅋㅋ
전화해도돼? 장원이 만나써?,응 지금 집에 같이있어
ㅋㅋㅋ거기서 뭐해,몸 좀 녹이고있었어 ㅋㅋㅋㅋ 이제 슬슬 일어나야지
속은 좀 괜찮아?,응 또 걸으니까 괜찮네 장원이 오늘도 술마신대
아나 누구랑,지우??
아 27일이구나 ㅋㅋㅋ 끝나고 전화해야겠다,장원이랑같이 있는데 전화받아??
아 나온줄알았어 나 도착했어 이제 진짜 얼마 안남았네 마지막까지 잘 좀 하자 라고 하심 네네~,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 네넹~~ 셋째 딸 화 많이 나셨네..
긍께 이따가 큰실장온다고 주방 대청소 하래 ㅋㅅㅋ 그건 대답안함 앗,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 주방 대청소라뇨.. 에바야
니가해~,ㅋㅋㅋㅋㅋㅋㅋ
큰실장왜와,진짜 너무하네
오지마,큰실장오면 주방 대청소해야돼? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미친소리 듣느라 고생했네
아니 또 미친소리 들을까봐 마시써 고마어,ㅋㅋㅋㅋㅋ 먹어줘서 고마워~
잉 넌 뭐해,아직 장원이집이야 장원이 옷입고있오 ㅓ
같이 나가려구?,응 그러게 이제 헤어지고 피시방가는중
이제 원준이 만나?,응 지금 피시방에 있대 술먹으러 왔어
재밌게 놀아~,많이 안먹어야지
오랜만에 친구들이랑 노는데 재밌게 놀아야징,그냥 그래 이제 2시간 반 남았네~
맞아~ 나 끝나구 시간되면 수빈이네 집 잠깐 들릴수도 있을 것 같아 일이 좀 있다그래서 얼굴 한번 보는게 좋을 것 같아서 수빈이 괜찮으면 보러가려고,음 무슨일인지는 모르겠지만 잘 얘기됐으면 좋겠네
응응 내 일은 아니구 수빈이 좀 힘든 것 같아서,아아
잠깐 얼굴만 보게,그렇구나
응응 가면 말해줄게,응 알겠어 나도 다 먹으면 말할게
응응,이제 술 다먹고 노래방왔어
잉 나 마감청소 거의 다 해놓고 쉬는중 장원이 전화와서 나 수빈이 집 가야되서 담에 보자했더니 절대 안된대 어제 일 해명해야된대,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래서 어떻게 하기로 했어?
일단 전화주기로했는데 ㅅㅂ 미친놈인가 시퍼 조또 관심없는디,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘은 몇시쯤에 퇴근인가요?
23분 희망인데 25분이요¿,23분 한번 도전해볼까용..?
도전,ㅋㅋㅋㅋㅋㅋ 도전!!!
보기좋게 실패~ 25분 퇴근하고 버스탔어요,두산가기로했너??
응응 돌곶이 내려서 173타고 석계가려구 나 173타구 석계 굴다리 가는즁,지금은??
돌곶이에서 방금 탔어,일단 두산쪽으로 갈게 그럼
칭구들이랑 헤어져써?,이제 곧 헤어져
아라써 나 내리면 저나할게,엉
모해 준서 나 집 들어왔어 씻고올겡,나도 이제 집 들어왔어요 원준이 먼저 씻는중 원준이가 밉다
ㅋㅋㅋㅋ왜그래 오랜만에 봤는데 재밌게 놀아,내일 못볼거 같아서 오늘 집 데려다 주고 싶었는디 아쉽네
아쉬워서 수요일에 더 좋을 것 같아 그치,gg ㅎㅎ 한 번 참아보지 뭐
웅 사실 나도 헤어지기싫었어 게임하고있어?,진짜???? 응 이제 슬슬 할 거 같아 넌 이제 뭐하게?
나 눕방,헐 나도 껴줭
ㅋㅋ얼른와,진짜 가고 싶다 다 놀고 연락할게 짐싸고 갈뻔
ㅋㅋㅋ재밌게놀아 준서,응 불렀어?
바빠?,아니아니 아ㅏㄴ바빠
게임하구이써?,끝나고 담배피고있어 엄마 재우고 몰래 나왔어
헐,ㅋㅋㅋㅋㅋㅋ 지하철 기다리고 있어요 프사 바꿨네??
준서 잘 도착했어~?,응 지금 연구실에 앉아있어 조교님 밥 드시러 가서 나도 먹고 오려고 오늘 가보니까 책 좀 사야겠어 좀 어렵네
응응 인터넷으로 살거야?,책 많이 읽고 좋지 뭐.. 응
그랭 나도 뺏어 읽어볼래 컴퓨터 책이지,응 그치 읽으면 꿀잠잘걸? 나도 벌써 졸려
ㅋㅋㅋㅋ 밥은 뭐먹게 왜 같이 안먹구 따로먹어,몰랐는데 배달의 민족을 이미 시키셨더라고 ㅎㅎ.. 먹고 온다그러길래 알겠다고 나도 먹고 온다고했어
아 넌 어디서 먹게 너도 시켜줄까? 주소 불러봐,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나가서 뭐 있나 둘러봐야지 혼밥 장인이거든
학교앞에 저번에 먹었던데 있자나,맞아 ㅋㅋㅋㅋ 거기 제일 먼저 가보려고
응응 시간 디지게 안간다,그니까 빨리 내일 됐으면 좋겠다
그러게~ 식당 들어갔어? 밥 다먹구 저나할래?,너무 좋아
나도~,😆
밥 맛있게 먹어~,밥 다먹고 연락할게
넹,다먹었어~
고생해~ 오늘 23분 퇴근이다,Shit~~!! 고생했어 오늘도 전화통화중이야?
방금 끊었어 전화 했었어? 나 장원이 만나서 얼굴 보고 엄마집 가려구,그렇구나 전화중인거 같아서 물어본거였어
응응 채히 디지게 혼났대 ㅋㅋㅋ 너는 집에 언제가려구?,ㅋㅋㅋㅋㅋㅋ 나도 슬슬 가려고 밥 맛있게 먹어용
응응 갈때 연락해죠 조심해서 들어가,넹 도착하면 톡할게
응응 고마워,으응?? 그럼 나도 고맙다고 말할래 고마워
ㅋㅋㅋ뭐야,ㅎㅎㅎㅎ 질수없지
아직 도착안했어?,문앞이야 냄새 빼고 들어가는중이얐어
앙,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 음성 지원된다
나 슬슬 나가려구,나 화장실로 도망왔는데 ㅋㅋㅋㅋㅋ 냄새 날까봐 들어왔어 엄마 깨있길래
응응 씻어그럼,얼른 씻고 전화할게
넹,씻고있어??
나와써 준서야 밖에 눈 와,헐 대박 내 이름이 있네?
일어났어,이제 출발이염
녜 저나해쥬,가는중~
일어났어요,지금은요??
